Content,Ready,Level,Type,AP,ID (Hex),Region/Connections,Prerequisites,Gear Req,Dep. Lvl.,Dependents
Level Up: 90,FALSE,90,Level,Location,00 16 00 5a,,,,,
Level Up: 91,FALSE,91,Level,Location,00 16 00 5b,,,,,
Level Up: 92,FALSE,92,Level,Location,00 16 00 5c,,,,,
Level Up: 93,FALSE,93,Level,Location,00 16 00 5d,,,,,
Level Up: 94,FALSE,94,Level,Location,00 16 00 5e,,,,,
Level Up: 95,FALSE,95,Level,Location,00 16 00 5f,,,,,
Level Up: 96,FALSE,96,Level,Location,00 16 00 60,,,,,
Level Up: 97,FALSE,97,Level,Location,00 16 00 61,,,,,
Level Up: 98,FALSE,98,Level,Location,00 16 00 62,,,,,
Level Up: 99,FALSE,99,Level,Location,00 16 00 63,,,,,
Level Up: 100,FALSE,100,Level,Location,00 16 00 64,,,,,
Level Up: 101,FALSE,101,Level,Location,00 16 00 65,,,,,
Level Up: 102,FALSE,102,Level,Location,00 16 00 66,,,,,
Level Up: 103,FALSE,103,Level,Location,00 16 00 67,,,,,
Level Up: 104,FALSE,104,Level,Location,00 16 00 68,,,,,
Level Up: 105,FALSE,105,Level,Location,00 16 00 69,,,,,
Level Up: 106,FALSE,106,Level,Location,00 16 00 6a,,,,,
Level Up: 107,FALSE,107,Level,Location,00 16 00 6b,,,,,
Level Up: 108,FALSE,108,Level,Location,00 16 00 6c,,,,,
Level Up: 109,FALSE,109,Level,Location,00 16 00 6d,,,,,
Level Up: 110,FALSE,110,Level,Location,00 16 00 6e,,,,,
Level Up: 111,FALSE,111,Level,Location,00 16 00 6f,,,,,
Level Up: 112,FALSE,112,Level,Location,00 16 00 70,,,,,
Level Up: 113,FALSE,113,Level,Location,00 16 00 71,,,,,
Level Up: 114,FALSE,114,Level,Location,00 16 00 72,,,,,
Level Up: 115,FALSE,115,Level,Location,00 16 00 73,,,,,
Level Up: 116,FALSE,116,Level,Location,00 16 00 74,,,,,
Level Up: 117,FALSE,117,Level,Location,00 16 00 75,,,,,
Level Up: 118,FALSE,118,Level,Location,00 16 00 76,,,,,
Level Up: 119,FALSE,119,Level,Location,00 16 00 77,,,,,
Level Up: 120,FALSE,120,Level,Location,00 16 00 78,,,,,
Complete: Slay Spiders,TRUE,4,Mini-Quest,Location,00 14 00 01,Nivla Woods,,,,
Complete: Slay Mooshrooms,TRUE,15,Mini-Quest,Location,00 14 00 02,Essren's Hut,,,,
Complete: Slay Skeletons,TRUE,25,Mini-Quest,Location,00 14 00 03,Scorched Trail,,,,
Complete: Slay Scarabs,TRUE,30,Mini-Quest,Location,00 14 00 04,Almuj,,,,
Complete: Slay Coyotes,TRUE,35,Mini-Quest,Location,00 14 00 05,Ruined Prospect,,,,
Complete: Slay Creatures of Nesaak Forest,TRUE,40,Mini-Quest,Location,00 14 00 06,Wolves' Den,,,,
Complete: Slay Orcs,TRUE,45,Mini-Quest,Location,00 14 00 07,Llevigar Gate,,,,
Complete: Slay Slimes,TRUE,50,Mini-Quest,Location,00 14 00 08,Jungle Entrance,,,,
Complete: Slay Lizardmen,TRUE,55,Mini-Quest,Location,00 14 00 09,Shady Shack,,,,
Complete: Slay Wraiths & Phantasms,TRUE,60,Mini-Quest,Location,00 14 00 0a,Fading Forest,,,,
Complete: Slay Idols,TRUE,65,Mini-Quest,Location,00 14 00 0b,Entamis Village,,,,
Complete: Slay Dead Villagers,TRUE,70,Mini-Quest,Location,00 14 00 0c,Dreary Docks,,,,
Complete: Slay Myconids,TRUE,73,Mini-Quest,Location,00 14 00 0d,Dodegar's Forge,,,,
Complete: Slay Weirds,TRUE,75,Mini-Quest,Location,00 14 00 0e,Entrance to Cinfras,,,,
Complete: Slay Felrocs,TRUE,78,Mini-Quest,Location,00 14 00 0f,Guild Hall,,,,
Complete: Slay Hobgoblins,FALSE,80,Mini-Quest,Location,00 14 00 10,Path to the Dojo,,,,
Complete: Slay Jinkos,FALSE,83,Mini-Quest,Location,00 14 00 11,Workshop Glade,,,,
Complete: Slay Robots,FALSE,85,Mini-Quest,Location,00 14 00 12,Industrial Clearing,,,,
Complete: Slay Ailuropodas,FALSE,88,Mini-Quest,Location,00 14 00 13,Panda Path,,,,
Complete: Slay Pernix Monkeys,FALSE,90,Mini-Quest,Location,00 14 00 14,Balloon Airbase,,,,
Complete: Slay Magma Entities,FALSE,91,Mini-Quest,Location,00 14 00 15,Lava Lakes,,,,
Complete: Slay Frosted Guards & Gryostone Golems,FALSE,92,Mini-Quest,Location,00 14 00 16,Freezing Heights,,,,
Complete: Slay Azers,FALSE,93,Mini-Quest,Location,00 14 00 17,Dogun Ritual Site,,,,
Complete: Slay Ifrits,FALSE,94,Mini-Quest,Location,00 14 00 18,Freezing Heights,,,,
Complete: Slay Astrochelys Manis,FALSE,95,Mini-Quest,Location,00 14 00 19,Corkus Outskirts,,,,
Complete: Slay Creatures of the Void,FALSE,96,Mini-Quest,Location,00 14 00 1a,Ahmsord,,,,
Complete: Slay Conures,FALSE,97,Mini-Quest,Location,00 14 00 1b,Ahmsord,,,,
Complete: Slay Angels,FALSE,98,Mini-Quest,Location,00 14 00 1c,Snail Island,,,,
Complete: Slay Dragonlings,FALSE,99,Mini-Quest,Location,00 14 00 1d,Sky Island Ascent,,,,
Complete: Slay Hedoro,FALSE,111,Mini-Quest,Location,00 14 00 1e,Industrial Sector,,,,
Complete: Hunt Banshee Stags,FALSE,112,Mini-Quest,Location,00 14 00 1f,Aldwell,,,,
Complete: Hunt Wolly Rhinos,FALSE,117,Mini-Quest,Location,00 14 00 20,Citadel's Shadow,,,,
Complete: King's Recruit,TRUE,1,Quest,Location,00 11 00 01,Ragni,,,,
Complete: Enzan's Brother,TRUE,1,Quest,Location,00 11 00 02,Emerald Trail,,,,
Complete: Dearly Departed,TRUE,2,Quest,Location,00 11 00 03,Ragni,,,,
Complete: Cook Assistant,TRUE,3,Quest,Location,00 11 00 04,"Katoa Ranch, Ragni North Entrance",,,,
Complete: Infested Plants,TRUE,4,Quest,Location,00 11 00 05,"Entrance to Nivla Woods, Road to Time Valley, Alekin",,,,
Complete: The Sewers of Ragni,TRUE,5,Quest,Location,00 11 00 06,Katoa Ranch,,,,
Complete: Mushroom Man,TRUE,6,Quest,Location,00 11 00 07,"Alekin, Arachnid Woods, Detlas",Complete: Infested Plants,,,
Complete: Tunnel Trouble,TRUE,6,Quest,Location,00 11 00 08,"Detlas Suburbs, Katoa Ranch, Corrupted Orchard, Scorched Trail, Corrupted Tower",,,,
Complete: Taking the Tower,TRUE,8,Quest,Location,00 11 00 09,"Detlas, Corrupted Orchard, Corrupted Tower",Complete: Mushroom Man,,,
Complete: Underwater,TRUE,9,Quest,Location,00 11 00 0a,Maltic Coast,,,,
Complete: Maltic's Well,TRUE,10,Quest,Location,00 11 00 0b,Maltic,,,,
Complete: Elemental Exercise,TRUE,11,Quest,Location,00 11 00 0c,"Detlas, Scorched Trail",Complete: Mushroom Man,,,
Complete: Potion Making,TRUE,12,Quest,Location,00 11 00 0d,"Detlas, Essren's Hut, Nivla Woods",,,,
Complete: Stable Story,TRUE,13,Quest,Location,00 11 00 0e,"Essren's Hut, Ternaves, Owl Tribe",,,,
Complete: Arachnids' Ascent,TRUE,14,Quest,Location,00 11 00 0f,"Detlas, Lava Springs, Arachnid Woods, Webbed Fracture","Complete: Taking the Tower, Complete: Elemental Exercise",,,
Complete: Supply and Delivery,TRUE,16,Quest,Location,00 11 00 10,"Detlas, Alekin",Complete: Mushroom Man,,,
Complete: Lava Springs,TRUE,18,Quest,Location,00 11 00 11,"Lava Springs, Bremminglar",,,,
Complete: Pit of the Dead,TRUE,20,Quest,Location,00 11 00 12,Nemract,,,,
Complete: Brothers Return,TRUE,20,Quest,Location,00 11 00 13,"Detlas, Nemract, Nemract Cathedral",,,,
Complete: The Dark Descent,TRUE,21,Quest,Location,00 11 00 14,Ancient Nemract,,,,
Complete: Dwelling Walls,TRUE,22,Quest,Location,00 11 00 15,Nemract,,,,
Complete: Cluck Cluck,TRUE,23,Quest,Location,00 11 00 16,Rooster Island,,,,
Complete: Lost Tower,TRUE,24,Quest,Location,00 11 00 17,"Nemract, Ancient Nemract",,,,
Complete: Recover the Past,TRUE,25,Quest,Location,00 11 00 18,"Corrupted River, Elkurn, Corrupted Road",,,,
Complete: Tempo Town Trouble,TRUE,25,Quest,Location,00 11 00 19,"Nemract, Tempo Town, Time Valley",,,,
Complete: Creeper Infiltration,TRUE,25,Quest,Location,00 11 00 1a,"Tempo Town, Ragni South Entrance, Sulphuric Hollow, Pigmen Ravines",,Unique Armor 25,,
Complete: Deja Vu,TRUE,27,Quest,Location,00 11 00 1b,Time Valley,,,,
Complete: The Corrupted Village,TRUE,28,Quest,Location,00 11 00 1c,"Desolate Valley, Nesaak Transition",,,,
Complete: Misadventure on the Sea,TRUE,28,Quest,Location,00 11 00 1d,"Nemract, Selchar",,,,
Complete: The Mercenary,TRUE,30,Quest,Location,00 11 00 1e,"Almuj, Detlas, Barren Sands, Invaded Barracks",,,,
Complete: Green Gloop,TRUE,31,Quest,Location,00 11 00 1f,"Gloopy Cave, Almuj, Ruined Villa",,,,
Complete: A Sandy Scandal,TRUE,32,Quest,Location,00 11 00 20,"Almuj, Cascading Oasis",,,,
Complete: Meaningful Holiday,TRUE,33,Quest,Location,00 11 00 21,"Almuj, Almuj Slums, Ternaves, Black Road",,,,
Complete: Kingdom of Sand,TRUE,33,Quest,Location,00 11 00 22,"Accursed Dunes, Eagle Tribe, Ruined Prospect, Ruined Villa",,,,
Complete: Canyon Condor,TRUE,34,Quest,Location,00 11 00 23,"Rymek, Owl Tribe, Ancient Excavation",,,,
Complete: WynnExcavation Site A,TRUE,35,Quest,Location,00 11 00 24,"Ancient Excavation, Eagle Tribe",,,,
Complete: Tribal Aggression,TRUE,35,Quest,Location,00 11 00 25,"Owl Tribe, Eagle Tribe",,,,
Complete: Wrath of the Mummy,TRUE,36,Quest,Location,00 11 00 26,"Almuj Slums, Almuj, Mummy's Tomb, Rymek",,,,
Complete: Pirate's Trove,TRUE,39,Quest,Location,00 11 00 27,"Entrance to Gavel, Llevigar",,,,
Complete: Clearing the Camps,TRUE,39,Quest,Location,00 11 00 28,"Llevigar Gate, Cliffhearth Orc Camp, Trunkstump Goblin Camp, Orc Road",,,,
Complete: Ice Nations,TRUE,40,Quest,Location,00 11 00 29,"Nodguj Nation, Dujgon Nation",,,,
Complete: Heart of Llevigar,TRUE,41,Quest,Location,00 11 00 2b,Llevigar,,,,
Complete: Star Thief,TRUE,42,Quest,Location,00 11 00 2c,"Stonecave Orc Camp, Trunkstump Goblin Camp, Meteor Trail, Orc Lake, Orc Road",,,,
Complete: Underice,TRUE,43,Quest,Location,00 11 00 2d,"Nesaak, Wolves' Den, Frigid Crossroads",Complete: Underwater,Unique Armor 40,,
Complete: Fate of the Fallen,TRUE,43,Quest,Location,00 11 00 2e,"Wolves' Den, Nesaak, Abandoned Lumberyard",,,,
Complete: Blazing Retribution,TRUE,44,Quest,Location,00 11 00 2f,"Orc Lake, Loamsprout Orc Camp, Sablestone Orc Camp",,,,
Complete: Bob's Lost Soul,TRUE,45,Quest,Location,00 11 00 30,"Frigid Crossroads, Bob's Tomb, Savannah Plains, Florist's Hut, Black Road, Frozen Homestead, Abandoned Lumberyard",,,,
Complete: WynnExcavation Site B,TRUE,46,Quest,Location,00 11 00 31,Twain Lake,Complete: WynnExcavation Site A,,,
Complete: Frost Bite,TRUE,48,Quest,Location,00 11 00 32,Icy Descent,,,,
Complete: The House of Twain,TRUE,49,Quest,Location,00 11 00 33,"Twain Lake, Twain Mansion",,Rare Armor 48,,
Complete: An Iron Heart Part I,TRUE,49,Quest,Location,00 11 00 34,"Goblin Plains West, Iron Road, Meteor Crater, Sunspark Orc Camp",,,,
Complete: Rise of the Quartron,TRUE,49,Quest,Location,00 11 00 35,"Karoc Quarry, Harnort Compound, Shineridge Orc Camp",,,,
Complete: A Grave Mistake,TRUE,50,Quest,Location,00 11 00 36,Twain Mansion,Complete: The House of Twain,,,
Complete: The Maiden Tower,TRUE,51,Quest,Location,00 11 00 37,"Ogre Den, Maiden Tower, Olux",,,,
Complete: Crop Failure,TRUE,52,Quest,Location,00 11 00 38,Olux,,,,
Complete: Corrupted Betrayal,TRUE,52,Quest,Location,00 11 00 39,"Troms Lake, Apprentice Huts, Monte's Village, Iboju Village, Troms, Temple of Legends",,,,
Complete: Jungle Fever,TRUE,52,Quest,Location,00 11 00 3a,"Iboju Village, Almuj, Detlas",,,,
Complete: Death Whistle,TRUE,53,Quest,Location,00 11 00 3b,"Infested Sinkhole, Floral Peaks, Maiden Tower, Witching Road",,,,
Complete: Master Piece,TRUE,53,Quest,Location,00 11 00 3c,"Swamp Mountain Arch, Sunspark Orc Camp, Meteor Crater, Lizardman Camp, Bloody Trail",,,,
Complete: The Worm Holes,TRUE,54,Quest,Location,00 11 00 3d,"Path to the Grootslangs, Infested Sinkhole, Forgotten Burrows, Witching Road",,,,
Complete: The Shadow of the Beast,FALSE,54,Quest,Location,00 11 00 3e,"Bloody Trail, Entrance to Olux, Lizardman Lake, Fading Forest, Olux",,,,
Complete: Zhight Island,TRUE,55,Quest,Location,00 11 00 3f,"Zhight Island, Mage Island",Complete: Ice Nations,Unique Armor 42,,
Complete: WynnExcavation Site C,TRUE,55,Quest,Location,00 11 00 40,Volcanic Excavation,Complete: WynnExcavation Site B,,,
Complete: The Passage,TRUE,57,Quest,Location,00 11 00 41,"Troms, Iboju Village",,,,
Complete: An Iron Heart Part II,TRUE,58,Quest,Location,00 11 00 42,"Olux, Secluded Workshop",Complete: An Iron Heart Part I,,,
Complete: The Order of the Grook,TRUE,59,Quest,Location,00 11 00 43,Mage Island,,,,
Complete: Beneath the Depths,TRUE,60,Quest,Location,00 11 00 44,"Pirate Town, Mage Island",,,,
Complete: Reclaiming the House,TRUE,61,Quest,Location,00 11 00 45,"Overtaken Outpost, Mangled Lake, Bloody Trail",,,,
Complete: Redbeard's Booty,TRUE,61,Quest,Location,00 11 00 46,"Lost Atoll, Pirate Town",,,,
Complete: Lost in the Jungle,TRUE,62,Quest,Location,00 11 00 47,"Iboju Village, Entamis Village",,,,
Complete: Taproot,TRUE,62,Quest,Location,00 11 00 48,Fading Forest,Complete: The Worm Holes,,,
Complete: Out of my Mind,TRUE,63,Quest,Location,00 11 00 49,Troms,,,,
Complete: A Headless History,TRUE,64,Quest,Location,00 11 00 4a,"Gelibord Watermill, Castle Dullahan",Complete: Taproot,,,
Complete: All Roads To Peace,TRUE,64,Quest,Location,00 11 00 4b,"Centerworld Fortress, Orc Battlegrounds","Complete: Clearing the Camps, Complete: Blazing Retribution",,,
Complete: Lost Royalty,TRUE,65,Quest,Location,00 11 00 4c,"Iboju Village, Troms",,,,
Complete: Lost Soles,TRUE,66,Quest,Location,00 11 00 4d,Delnar Manor,Complete: Beneath the Depths,Legendary+ Armor 60,,
Complete: Memory Paranoia,TRUE,67,Quest,Location,00 11 00 4e,Caritat Mansion,,,,
Complete: From the Mountains,TRUE,67,Quest,Location,00 11 00 4f,"Fleris Trail, Road to Light Forest, Bucie Waterfall, Harnort Compound",,,,
Complete: Temple of the Legends,TRUE,68,Quest,Location,00 11 00 50,"Temple of Legends, Elkurn, Roots of Corruption, Corrupted Warfront, Akias Ruins, Corrupted Orchard, Mage Island, Iboju Village, Maro Peaks, Rymek, Sulphuric Hollow","Complete: Ice Nations, Complete: Creeper Infiltration","Unique Armor 42, Rare Armor 68",,
Complete: Grand Youth,TRUE,69,Quest,Location,00 11 00 51,"Troms, Monte's Village",,,,
Complete: Lazarus Pit,TRUE,69,Quest,Location,00 11 00 52,"Gelibord, Castle Dullahan, Twisted Ridge, Gelibord Watermill",,,,
Complete: Haven Antiquity,TRUE,70,Quest,Location,00 11 00 53,"Dreary Docks, Derelict Mansion, Disturbed Crypt, Lifeless Forest",,,,
Complete: WynnExcavation Site D,TRUE,70,Quest,Location,00 11 00 54,"Troms, Entamis Village, Fountain of Youth, Ragni",Complete: WynnExcavation Site C,,,
Complete: Shattered Minds,TRUE,70,Quest,Location,00 11 00 55,Efilim,,,,
Complete: Finding the Light,TRUE,71,Quest,Location,00 11 00 56,"Guardian of the Forest, Cinfras, Aldorei Valley Outskirts, The Shiar, Mantis Nest",Complete: A Headless History,,,
Complete: Forbidden Prison,TRUE,72,Quest,Location,00 11 00 57,"Gelibord, Lexdale Penitentiary",,,,
Complete: Lexdale Witch Trials,TRUE,72,Quest,Location,00 11 00 58,"Lexdale, Decayed Basin, Heart of Decay, Old Crossroads",,,,
Complete: Murder Mystery,TRUE,73,Quest,Location,00 11 00 59,"Entrance to Cinfras, Cinfras",,,,
Complete: Troubled Tribesmen,TRUE,73,Quest,Location,00 11 00 5a,Entamis Village,,,,
Complete: Hollow Serenity,TRUE,73,Quest,Location,00 11 00 5b,"Faltach Manor, Dark Forest Village, Mushroom Hill",,,,
Complete: Aldorei's Secret Part I,TRUE,74,Quest,Location,00 11 00 5c,"Aldorei Springs, Aldorei Valley, Outer Aldorei Town",,,,
Complete: Acquiring Credentials,TRUE,74,Quest,Location,00 11 00 5d,Guild Hall,,,,
Complete: Reincarnation,TRUE,74,Quest,Location,00 11 00 5e,"Skien's Island, Maro Peaks, Bob's Tomb","Complete: Cluck Cluck, Complete: Ice Nations, Complete: Bob's Lost Soul",Unique Armor 42,,
Complete: Tower of Ascension,TRUE,75,Quest,Location,00 11 00 2a,Tower of Ascension,,,,
Complete: The Ultimate Weapon,TRUE,75,Quest,Location,00 11 00 5f,"Dodegar's Forge, Wood Sprite Hideaway, Luxuriant Pond, The Shiar, Mycelial Expanse",,,,
Complete: Flight in Distress,TRUE,75,Quest,Location,00 11 00 60,"Guild Hall, Detlas",Complete: Acquiring Credentials,,,
Complete: The Bigger Picture,TRUE,76,Quest,Location,00 11 00 61,Big Mushroom Cave,,,,
Complete: Purple and Blue,TRUE,77,Quest,Location,00 11 00 62,"Gylia Research Cabin, Gylia Lakehouse, Weird Clearing, Fallen Village, Cosmic Fissures",,,,
Complete: Hunger of the Gerts Part I,TRUE,77,Quest,Location,00 11 00 63,"Gylia Watchtower, Jitak's Farm, Mushroom Hill, Gert Camp",,,,
Complete: Aldorei's Secret Part II,TRUE,78,Quest,Location,00 11 00 64,"Aldorei Cliffside Waterfalls, Outer Aldorei Town, Aldorei Valley",Complete: Aldorei's Secret Part I,,,
Complete: Hunger of the Gerts Part II,TRUE,78,Quest,Location,00 11 00 65,"Gylia Watchtower, Gert Camp",Complete: Hunger of the Gerts Part I,,,
Complete: Fallen Delivery,TRUE,79,Quest,Location,00 11 00 66,"Burning Farm, Burning Airship, Silverbull Headquarters, Cinfras's Small Farm, Cinfras, Guild Hall",,,,
Complete: The Realm of Light,TRUE,79,Quest,Location,00 11 00 67,"Azure Frontier, Path to Light, Primal Fen, Nexus of Light, Heavenly Ingress, Luminous Plateau, Otherworldly Monolith",Complete: Finding the Light,,,
Complete: ???,FALSE,80,Quest,Location,00 11 00 69,,,,,
Complete: General's Orders,FALSE,80,Quest,Location,00 11 00 6a,"Kitrios Armory, Kitrios Barracks, Colourful Mountaintop",,,,
Complete: From the Bottom,FALSE,81,Quest,Location,00 11 00 6b,Thanos,,,,
Complete: The Thanos Depository,FALSE,81,Quest,Location,00 11 00 6c,"Thanos, Path to Ozoth's Spire, Inhospitable Mountain",,,,
Complete: A Marauder's Dues,FALSE,83,Quest,Location,00 11 00 6d,"Bandit's Toll, Wizard's Warning, Harpy's Haunt North, Perilous Passage, Canyon Walkway",,,,
Complete: The Envoy Part I,FALSE,83,Quest,Location,00 11 00 6e,"Selchar, Corkus Castle, Corkus City, Avos Territory, Overrun Docks",,,,
Complete: The Canyon Guides,FALSE,84,Quest,Location,00 11 00 6f,"Hobgoblin's Hoard, Krolton's Cave, Bantisu Approach, Workshop Glade",,,,
Complete: The Lost,FALSE,85,Quest,Location,00 11 00 70,"Protector's Pathway, Featherfall Cliffs, Canyon Dropoff, Rocky Bend, Housing Crisis",,,,
Complete: The Canary Calls,FALSE,85,Quest,Location,00 11 00 71,"Thesead Underpass, Thesead",,,,
Complete: Desperate Metal,FALSE,86,Quest,Location,00 11 00 72,"Lighthouse Lookout, Balloon Airbase",,,,
Complete: Cowfusion,FALSE,86,Quest,Location,00 11 00 73,Ranol's Farm,,,,
Complete: Beyond the Grave,FALSE,87,Quest,Location,00 11 00 74,"Bantisu Air Temple, Krolton's Cave, Harpy's Haunt North, Wizard's Warning",,,,
Complete: Mixed Feelings,FALSE,87,Quest,Location,00 11 00 75,Founder's Statue,,,,
Complete: The Hidden City,FALSE,88,Quest,Location,00 11 00 76,"Eltom, Entrance to Thesead, Thesead",,,,
Complete: The Envoy Part II,FALSE,89,Quest,Location,00 11 00 77,"Corkus City, Avos Territory, Avos Temple, Corkus Castle, Road to Mine, Corkus Sea Cove, Relos, Industrial Clearing",Complete: The Envoy Part I,,,
Complete: Enter the Dojo,FALSE,89,Quest,Location,00 11 00 78,,,,,
Complete: Fantastic Voyage,FALSE,90,Quest,Location,00 11 00 79,"Jofash Docks, Mine Base Plains",,,,
Complete: Dwarves and Doguns Part I,FALSE,91,Quest,Location,00 11 00 7a,"Rodoroc, Dogun Ritual Site, Freezing Heights, Pyroclastic Flow, Lava Lakes",,,,
Complete: The Feathers Fly Part I,FALSE,91,Quest,Location,00 11 00 7b,"Ava's Workshop, Avos Territory, Corkus Outskirts",Complete: The Envoy Part II,,,
Complete: Dwarves and Doguns Part II,FALSE,92,Quest,Location,00 11 00 7c,"Lava Lakes, Crater Descent, Rodoroc",Complete: Dwarves and Doguns Part I,,,
Complete: Dwarves and Doguns Part III,FALSE,93,Quest,Location,00 11 00 7d,"Freezing Heights, Dogun Ritual Site",Complete: Dwarves and Doguns Part II,,,
Complete: The Feathers Fly Part II,FALSE,93,Quest,Location,00 11 00 7e,"Corkus Castle, Corkus City Crossroads, Corkus City, Road to Mine, Ava's Workshop",Complete: The Feathers Fly Part I,,,
Complete: Dwarves and Doguns Part IV,FALSE,94,Quest,Location,00 11 00 7f,"Dogun Ritual Site, Rodoroc, Crater Descent, Lava Lakes",Complete: Dwarves and Doguns Part III,,,
Complete: One Thousand Meters Under,FALSE,95,Quest,Location,00 11 00 80,Ahmsord,,,,
Complete: Recipe For Disaster,FALSE,96,Quest,Location,00 11 00 81,"Ahmsord, Kandon Farm, Jofash Docks, Astraulus' Tower, Snail Island, Swamp Island",,,,
Complete: The Breaking Point,FALSE,97,Quest,Location,00 11 00 82,"Kandon-Beda, Retrofitted Manufactory, Dogun Ritual Site, Freezing Heights, Crater Descent, Rodoroc, Upper Thanos, Thanos Exit, Molten Passage, Path to Ozoth's Spire, Thanos","Complete: The Envoy Part II, Complete: Dwarves and Doguns Part IV, Complete: The Thanos Depository",,,
Complete: Royal Trials,FALSE,98,Quest,Location,00 11 00 83,"Raiders' Stronghold, Raiders' Airbase",,,,
Complete: The Hero of Gavel,FALSE,99,Quest,Location,00 11 00 84,"Ahmsord, Llevigar, Cinfras, Angel Refuge",,,,
Complete: The Qira Hive,FALSE,100,Quest,Location,00 11 00 68,The Hive,,,,
Complete: The Olmic Rune,FALSE,100,Quest,Location,00 11 00 85,"Grey Ruins, Forgotten Town",,,,
Complete: A Journey Beyond,FALSE,100,Quest,Location,00 11 00 86,"Silent Road, Worm Tunnel, Broken Road, Grey Ruins, Forgotten Town, Detlas, Mine Base Plains, Black Road, Lutho, Corrupted River, Nesaak Transition, Florist's Hut",,,,
Complete: A Journey Further,FALSE,101,Quest,Location,00 11 00 87,"Lutho, Toxic Drip, Paths of Sludge, Gateway to Nothing, Final Step",Complete: A Journey Beyond,,,
Complete: Point of No Return,FALSE,102,Quest,Location,00 11 00 88,Lutho,,,,
Complete: Queen's Recruit,FALSE,103,Quest,Location,00 11 00 89,"Detlas, Ragni, Royal Gate","Complete: Recover the Past, Complete: The Realm of Light, Complete: A Journey Further",,,
Complete: A Hunter's Calling,FALSE,103,Quest,Location,00 11 00 8a,"Bizarre Passage, The Gate, Ragni, Ancient Excavation, Ruined Villa, Almuj, Wolves' Den, Troms, Temple of Legends, Secluded Workshop, Rodoroc, Corkus Castle","Complete: Eldrich Outlook, Complete: An Iron Heart Part II, Complete: Dwarves and Doguns Part II",,,
Complete: A Journey Home,FALSE,104,Quest,Location,00 11 00 8b,"Ragni, Fort Torann, Royal Gate",Complete: Queen's Recruit,,,
Complete: A New Beginning,FALSE,105,Quest,Location,00 11 00 8c,"Espren, Forts in Fall, Festival Grounds, The Frog Bog",Complete: A Journey Home,,,
Complete: The Cursed One,FALSE,106,Quest,Location,00 11 00 8d,"Festival Grounds, Espren",Complete: A New Beginning,,,
Complete: Undersupply,FALSE,107,Quest,Location,00 11 00 8e,"Royal Dam, Forts in Fall, Lake Gitephe",Complete: A Journey Home,,,
Complete: The Scarred Springs,FALSE,108,Quest,Location,00 11 00 8f,"Royal Barracks, The Lumbermill, Espren",Complete: A Journey Home,,,
Complete: Revelations in Fall,FALSE,108,Quest,Location,00 11 00 90,"Festival Grounds, Espren, Agricultural Sector",Complete: The Cursed One,,,
Complete: Solidarity of Steel,FALSE,109,Quest,Location,00 11 00 91,"Industrial Sector, Timasca, Water Processing Sector",Complete: Revelations in Fall,,,
Complete: Off the Rails,FALSE,109,Quest,Location,00 11 00 92,"Timasca, Espren",Complete: Revelations in Fall,,,
Complete: The Price of Ingenuity,FALSE,110,Quest,Location,00 11 00 93,"Industrial Sector, Timasca, Water Processing Sector",Complete: Solidarity of Steel,,,
Complete: Through the Pipes,FALSE,110,Quest,Location,00 11 00 94,"Timasca, Agricultural Sector",Complete: Revelations in Fall,,,
Complete: The Missing Piece,FALSE,111,Quest,Location,00 11 00 95,"Espren, Agricultural Sector, Residence Sector, University Campus, Royal Barracks",Complete: Revelations in Fall,,,
Complete: Echoes of Change,FALSE,112,Quest,Location,00 11 00 96,"Industrial Sector, Timasca, Water Processing Sector, University Campus, Deforested Ecotone",Complete: The Price of Ingenuity,,,
Complete: Shrouded in Mist,FALSE,113,Quest,Location,00 11 00 97,"Deforested Ecotone, Aldwell, Highlands Gate, Verdant Grove",Complete: Echoes of Change,,,
Complete: Burning Bonds,FALSE,114,Quest,Location,00 11 00 98,"Verdant Grove, Deforested Ecotone, Fort Hegea",Complete: Revelations in Fall,,,
Complete: True Colours,FALSE,115,Quest,Location,00 11 00 99,"Deforested Ecotone, Fort Hegea, Verdant Grove",Complete: Shrouded in Mist,,,
Complete: Celebrations in Smoke,FALSE,115,Quest,Location,00 11 00 9a,"Aldwell, Fort Hegea",Complete: Revelations in Fall,,,
Complete: Overture to Despair,FALSE,116,Quest,Location,00 11 00 9b,"Hyloch, Feuding Houses, Lake Gitephe",Complete: True Colours,,,
Complete: The Strong Survive,FALSE,117,Quest,Location,00 11 00 9c,"Hyloch, Fort Tericen",Complete: Revelations in Fall,,,
Complete: Ensemble of Hope,FALSE,118,Quest,Location,00 11 00 9d,"Hyloch, Citadel's Shadow, Royal Dam, Deforested Ecotone, Gates to Aelumia, Contested District",Complete: Overture to Despair,,,
Complete: Apotheosis,FALSE,119,Quest,Location,00 11 00 9e,"Hyloch, Lake Gitephe, Contested District, Gates to Aelumia, Royal Barracks",Complete: Ensemble of Hope,,,
Ragni Main Entrance,TRUE,1,Region,Item,00 01 00 00,"Emerald Trail, Ragni Countryside South, Ragni",,,1,Visit: Ragni Main Entrance
Emerald Trail,TRUE,1,Region,Item,00 01 00 0c,"Ragni Main Entrance, Entrance to Nivla Woods, Farmers Settlement",,,1,"Explore: Pigman Barbeque, Explore: Corrupted Passageway, Complete: Enzan's Brother, Visit: Emerald Trail"
